"";"keys";"names";"trophic_group"
"317";"3220678";"Desulfotalea";2
"318";"3220375";"Desulfovibrio";2
"319";"3220389";"Desulfovirga";2
"320";"8941";"Desulfuromonadaceae";2
"321";"3220490";"Desulfuromonas";2
"322";"3220926";"Devosia";2
"323";"6123596";"Diaphanoeca spiralifurca";9
"324";"3220176";"Diaphorobacter";2
"325";"2592471";"Dictyosporium";11
"326";"7410447";"Dileptus";9
"327";"7957501";"Dileptus microstoma";9
"328";"3194946";"Dinobryon";5
"329";"2518442";"Dioszegia";11
"330";"5237438";"Dioszegia crocea";11
"331";"5889471";"Diplogasteroides magnus";9
"332";"2282616";"Discolaimus cf. major HHBM-2007a";9
"333";"2559290";"Dissophora decumbens";11
"334";"2283953";"Ditylenchus dipsaci";9
"335";"2560208";"Diversispora";11
"336";"9697977";"Diversispora varaderana";11
"337";"7623";"Diversisporaceae";11
"338";"533";"Diversisporales";11
"339";"3222287";"Dokdonella";2
"340";"8138815";"Dokdonella ginsengisoli";2
"341";"7642033";"Dongia";2
"342";"446";"Dorylaimida";9
"343";"2592";"Dorylaimidae";9
"344";"3219861";"Duganella";2
"345";"3228894";"Dyadobacter";2
"346";"3222364";"Dyella";2
"347";"103079544";"Echinamoeba exundans";9
"348";"4405791";"Ecumenicus";15
"349";"4887124";"Edaphobacter";2
"350";"8886828";"Edaphobacter dinghuensis";2
"351";"6533858";"Elusimicrobium";2
"352";"3228870";"Emticicia";2
"353";"3565";"Enchytraeidae";14
"354";"2308266";"Enchytraeus";9
"355";"2308269";"Enchytraeus albidus";9
"356";"2308272";"Enchytraeus buchholzi";9
"357";"4409817";"Enchytraeus bulbosus";9
"358";"4307714";"Enchytraeus christenseni";9
"359";"2308267";"Enchytraeus lacteus";9
"360";"4409812";"Enchytraeus norvegicus";9
"361";"2308261";"Enchytronia parva";9
"362";"2627185";"Endochytrium";11
"363";"2559270";"Endogone";11
"364";"2559270";"Endogone";5
"365";"2559441";"Endogone lactiflua";11
"366";"1395";"Enterobacterales";2
"367";"4899";"Enterobacteriaceae";2
"368";"2120412";"Entomobrya";5
"369";"2120754";"Entomobrya multifasciata";5
"370";"7216";"Entomobryidae";5
"371";"104290441";"Entomobryomorpha";5
"372";"2513576";"Entyloma ficariae";11
"373";"4912196";"Eocercomonas";9
"374";"2119156";"Eosentomon";1
"375";"3195018";"Epipyxis pulchra";9
"376";"8387843";"Epispathidium";9
"377";"8423927";"Epispathidium terricola";12
"378";"9815647";"Epistylis";9
"379";"1353";"Ericales";7
"380";"3221318";"Erythrobacter";2
"381";"4901672";"Erythrobacteraceae";2
"382";"2283775";"Eucephalobus striatus";9
"383";"8362112";"Eucoccidiorida";9
"384";"4410245";"Eudrilus eugeniae";5
"385";"9473002";"Euduboscquella";5
"386";"3212288";"Euglypha";9
"387";"5730694";"Euglypha rotunda";9
"388";"5730696";"Euglypha tuberculata";9
"389";"9797892";"Euglyphida";4
"390";"4348568";"Eumonhystera";13
"391";"8410027";"Euplotes";9
"392";"7866880";"Euplotes balteatus";9
"393";"8410027C1";"Euplotes qatarensis";9
"394";"8374779";"Euplotes trisulcatus";9
"395";"8290279";"Euplotida";9
"396";"7575660";"Euplotidae";9
"397";"1948";"Eustigmataceae";5
"398";"5386";"Fabaceae";7
"399";"6391433";"Fallopia multiflora";7
"400";"3220318";"Ferribacterium";2
"401";"8011754";"Ferrimicrobium";2
"402";"7506466";"Ferrithrix";2
"403";"7592743";"Ferruginibacter";2
"404";"8867112";"Ferruginibacter paludis";2
"405";"5917830";"Fibrella";2
"406";"3228262";"Fibrobacter";2
"407";"9659532";"Filobasidium stepposum";11
"408";"7913878";"Fistulifera";5
"409";"4893097";"Flavisolibacter";2
"410";"7703764";"Flavisolibacter rigui";2
"411";"8099";"Flavobacteriaceae";2
"412";"3221328";"Flavobacterium";2
"413";"3228598";"Flavobacterium hydatis";2
"414";"3228773";"Flexibacter";2
"415";"3228481";"Fluviicola";2
"416";"2120383";"Folsomia candida";5
"417";"2120372";"Folsomia quadrioculata";5
"418";"1419844";"Forficula";1
"419";"1419845";"Forficula auricularia";5
"420";"3225653";"Frankia";2
"421";"4812533";"Fridericia bisetosa";9
"422";"7369804";"Fridericia christeri";9
"423";"8142015";"Fridericia connata";9
"424";"4812535";"Fridericia galba";9
"425";"7630327";"Fridericia isseli";9
"426";"7618454";"Fridericia magna";9
"427";"2308365";"Fridericia paroniana";9
"428";"2308359";"Fridericia ratzeli";9
"429";"7441738";"Fridericia sohlenii";9
"430";"9053167";"Fridericia sylvatica";9
"431";"8876572";"Fridericia tuberosa";9
"432";"8891999";"Friesea grisea";5
"433";"3225337";"Frigoribacterium";2
"434";"2282796";"Funaria";5
"435";"4645";"Funariaceae";5
"436";"7578300";"Funneliformis mosseae";11
"437";"7989755";"Fuscheria";9
"438";"3225870";"Fusobacterium";2
"439";"7650175";"Gaiella";2
"440";"8370031";"Gaiella occulta";2
"441";"362";"Gammaproteobacteria";2
"442";"2554333";"Geastrum saccatum";11
"443";"3228998";"Gemmata";2
"444";"3228999";"Gemmata obscuriglobus";2
"445";"4721";"Gemmatimonadaceae";2
"446";"102704754";"Gemmatimonadetes";2
"447";"3228301";"Gemmatimonas";2
"448";"5499811";"Genea fragrans";11
"449";"4888232";"Geoalkalibacter";2
"450";"3220513";"Geobacter";2
"451";"7566235";"Geobacter anodireducens";2
"452";"3833";"Geodermatophilaceae";2
"453";"3224724";"Geodermatophilus";2
"454";"7501881";"Georgfuchsia";2
"455";"8002263";"Georgfuchsia toluolica";2
"456";"3220511";"Geothermobacter";2
"457";"3229014";"Geothrix";2
"458";"4676";"Geraniaceae";7
"459";"7622";"Gigasporaceae";11
"460";"1032756";"Gliricola";5
"461";"3300";"Glomeraceae";11
"462";"1148";"Glomerales";11
"463";"156";"Glomeromycetes";11
"464";"2559545";"Glomus";11
"465";"5251089";"Glomus invermaium";11
"466";"2558209";"Gongronella";11
"467";"2558212";"Gongronella butleri";11
"468";"8289527";"Gonostomum";9
"469";"8165311";"Gonostomum namibiense";9
"470";"8212596";"Gonostomum strenuum";9
"471";"7862147";"Granulicella paludicola";2
"472";"103470042";"Gregarinasina";9
"473";"2512861";"Guepiniopsis buccina";11
"474";"3220527";"Haliangium";2
"475";"4901805";"Haliea";2
"476";"3228793";"Haliscomenobacter";2
"477";"2558227";"Halteromyces radiatus";11
"478";"7600333";"Hantzschia";5
"479";"5265849";"Hantzschia amphioxys";5
"480";"7569076";"Haptorida";9
"481";"2171";"Hartmannellidae";4
"482";"9206251";"Helianthus annuus";7
"483";"2284094";"Helicotylenchus";6
"484";"4556520";"Helicotylenchus varicaudatus";9
"485";"7477764";"Hemiamphisiella terricola";1
"486";"2308382";"Henlea perpusilla";9
"487";"3219864";"Herbaspirillum";2
"488";"3219877";"Herminiimonas";2
"489";"9180955";"Herpetomonas";9
"490";"3683164";"Hesperelaea palmeri";7
"491";"3200939C1";"Heterococcus caespitosus";5
"492";"2283969";"Heterodera";6
"493";"4896482";"Heteromita";9
"494";"4900802";"Heteromitidae";4
"495";"8255906";"Heterophrys";9
"496";"3194398C1";"Hibberdia magna";5
"497";"2181976";"Histiostoma feroniarum";1
"498";"9744773";"Hodophilus hymenocephalus";11
"499";"2706162";"Holcus";7
"500";"3229012";"Holophaga";2
"501";"7423747";"Holostichidae";9
"502";"3481158";"Holwaya mucida";11
"503";"8294946";"Homalogastra setosa";13
"504";"6465";"Hoplolaimidae";9
"505";"4890869";"Humibacter";2
"506";"2586813";"Hyalorbilia";11
"507";"3222362";"Hydrocarboniphaga";2
"508";"3220160";"Hydrogenophaga";2
"509";"2523318";"Hygrocybe";11
"510";"8369786";"Hygrocybe reidii";11
"511";"2525706";"Hygrophorus";11
"512";"2538727";"Hygrophorus agathosmus";11
"513";"9758565";"Hymenochaetopsis olivacea";11
"514";"2582306";"Hymenoscyphus repandus";11
"515";"3202687";"Hyphochytrium catenoides";9
"516";"2584918";"Hyphodiscus hymeniophilus";11
"517";"2518830";"Hyphodontia rimosissima";11
"518";"7815";"Hyphomicrobiaceae";2
"519";"3220906";"Hyphomicrobium";2
"520";"7215";"Hypogastruridae";5
"521";"6108754";"Iamia";2
"522";"7578709";"Ignavibacterium";2
"523";"5905178";"Ilumatobacter";2
"524";"3834";"Intrasporangiaceae";2
"525";"2595140";"Iodophanus carneus";11
"526";"4349368";"Isolaimium multistriatum";9
"527";"3228987";"Isosphaera";2
"528";"126037304";"Isosphaeraceae";2
"529";"5166886";"Isotoma viridis";5
"530";"7214";"Isotomidae";5
"531";"2120343";"Isotomiella minor";5
"532";"9690045";"Itersonilia pannonica";11
"533";"2518117";"Itersonilia perplexans";11
"534";"2781176";"Ixiolirion tataricum";7
"535";"2639987C1";"Jaagiella alpicola";5
"536";"3225840";"Janibacter";2
"537";"3219885";"Janthinobacterium";2
"538";"2499";"Juglandaceae";7
"539";"2701072";"Juncus";7
"540";"3222057";"Kangiella";2
"541";"3225798";"Kineococcus";2
"542";"7891973";"Kineosporia";2
"543";"3220542";"Kofleria";2
"544";"3224344";"Kribbella";2
"545";"4900657";"Ktedonobacter";2
"546";"3224755";"Kutzneria";2
"547";"2559068";"Kuzuhaea moniliformis";11
"548";"3220956";"Labrys";2
"549";"7606454";"Lacibacter";2
"550";"8041250";"Lacrymaria marina";9
"551";"7958515";"Lacrymariidae";9
"552";"2832";"Laelapidae";5
"553";"408";"Lamiales";7
"554";"3212657";"Lamproderma";9
"555";"3223036";"Legionella";2
"556";"3223071";"Legionella lytica";2
"557";"3225314";"Leifsonia";2
"558";"3225218";"Lentzea";2
"559";"2120880";"Lepidocyrtus";5
"560";"2120899";"Lepidocyrtus paradoxus";5
"561";"4893086";"Leptomyxa";9
"562";"4893086C1";"Leptomyxa reticulata";9
"563";"9727358";"Leptomyxida";9
"564";"8198844C1";"Leptopharynx bromelicola";9
"565";"128048854";"Leptophryidae";12
"566";"3229040";"Levilinea";2
"567";"2555644";"Limonomyces roseipellis";11
"568";"2873855";"Linum";7
"569";"2188311";"Liochthonius";5
"570";"4888700";"Lishizhenia";2
"571";"2230246";"Lithobius forficatus";5
"572";"2230514";"Lithobius variegatus";5
"573";"7589559";"Litostomatea";12
"574";"1611430";"Lonchoptera lutea";1
"575";"2282727";"Longidorus";6
"576";"4554365";"Longidorus raskii";9
"577";"4554383";"Longidorus vinearum";9
"578";"4886727";"Longilinea";2
"579";"4884890";"Luedemannella";2
"580";"6103";"Lumbricidae";5
"581";"9806438";"Lumbricus";5
"582";"4410653";"Lumbricus castaneus";5
"583";"7576647";"Lumbricus centralis";5
"584";"8161409";"Lumbricus friendi";5
"585";"4410657";"Lumbricus terrestris";5
"586";"5907331";"Luteimonas aestuarii";2
"587";"4575424";"Luteolibacter";2
"588";"7507829";"Luticola permuticopsis";5
"589";"3222300";"Lysobacter";2
"590";"2569257";"Magnaporthe";11
"591";"2518091";"Malassezia";11
"592";"2518102";"Malassezia globosa";11
"593";"3195066";"Mallomonas";9
"594";"3220502";"Malonomonas";2
"595";"1414";"Malpighiales";7
"596";"2308278";"Marionina";9
"597";"4409889";"Marionina cf. minutissima PDW-2010";9
"598";"4409891";"Marionina clavata";9
"599";"2308295";"Marionina communis";9
"600";"4409880";"Marionina filiformis";9
"601";"2308289";"Marionina sublitoralis";9
"602";"3224324";"Marmoricola";2
"603";"7639807";"Martelella endophytica";2
"604";"7518643";"Maryna ovata";13
"605";"3219853";"Massilia";2
"606";"5899723";"Massisteria marina";9
"607";"8312129";"Mayamaea";5
"608";"2122150";"Megalothorax";5
"609";"2593986";"Melastiza contorta";11
"610";"6683";"Melastomataceae";7
"611";"2283983";"Meloidogyne naasi";9
"612";"7023889";"Merliniidae";9
"613";"4556193";"Merlinius brevidens";9
"614";"4556202";"Merlinius cf. microdorus TSH-2005";9
"615";"4556197";"Merlinius joctus";9
"616";"7787296";"Meseres corlissi";9
"617";"2282644C1";"Mesodorylaimus cf. nigritulus AV-2005";9
"618";"2283674";"Mesorhabditis";13
"619";"3220966";"Mesorhizobium";2
"620";"2562464";"Metarhizium";3
"621";"2562645";"Metarhizium anisopliae";11
"622";"4555808";"Metateratocephalus";13
"623";"3220334";"Methylobacillus";2
"624";"7816";"Methylobacteriaceae";2
"625";"3220820";"Methylobacterium";2
"626";"3220879";"Methylocapsa";2
"627";"3220866";"Methylocella";2
"628";"4726";"Methylocystaceae";2
"629";"8929";"Methylophilaceae";2
"630";"3220331";"Methylophilus";2
"631";"3221069";"Methylosinus";2
"632";"3221071";"Methylosinus sporium";2
"633";"3221070";"Methylosinus trichosporium";2
"634";"2641076";"Micractinium";5
"635";"3837";"Microbacteriaceae";2
"636";"3225370";"Microbacterium";2
"637";"3836";"Micrococcaceae";2
"638";"3225670";"Microlunatus";2
"639";"3224505";"Micromonospora";2
"640";"3838";"Micromonosporaceae";2
"641";"126043370";"Microthrixaceae";2
"642";"3220848";"Microvirga";2
"643";"1320";"Mischococcales";5
"644";"3201190C1";"Mischococcus sphaerocephalus";5
"645";"8742";"Mniaceae";5
"646";"7571206";"Monilicaryon monilatum";9
"647";"8324907C1";"Monocystis agilis";3
"648";"8420648";"Monosiga ovata";9
"649";"6562811";"Moorella";2
"650";"4902158";"Moraxella osloensis";2
"651";"2558228";"Mortierella";11
"652";"4093";"Mortierellaceae";11
"653";"4886632";"Mucilaginibacter";2
"654";"9467085";"Mucor";11
"655";"2555295";"Multiclavula mucida";11
"656";"8018537";"Mycobacterium";2
"657";"3220801";"Mycoplana";2
"658";"8360084";"Mykophagophrys terricola";1
"659";"1318887";"Myrmica scabrinodis";5
"660";"8944";"Myxococcaceae";2
"661";"1384";"Myxococcales";2
"662";"2076179";"Myzus persicae";6
"663";"102565918";"Nakamurella";2
"664";"102979699";"Nannochloris";5
"665";"102710354";"Nannocystis";2
"666";"7212";"Neanuridae";5
"667";"9171551C1";"Neobodo designis";9
"668";"4555937";"Neopsilenchus magnidens";9
"669";"9598872";"Neourostylopsis";9
"670";"3228891";"Niastella";2
"671";"3220964";"Nitratireductor";2
"672";"3222546";"Nitrosococcus";2
"673";"6453386";"Nitrosopumilaceae";2
"674";"6453387";"Nitrosopumilus";2
"675";"8079935";"Nitrososphaera";2
"676";"3220358";"Nitrosospira";2
"677";"102558290";"Nitrospira";2
"678";"5427444";"Nitrospira marina";2
"679";"2628185";"Nitzschia";5
"680";"5266190";"Nitzschia pusilla";5
"681";"9582951";"Nocardia";2
"682";"8085";"Nocardiaceae";2
"683";"8087";"Nocardioidaceae";2
"684";"3224302";"Nocardioides";2
"685";"1789695";"Noctua pronuba";5
"686";"4378437";"Nolandella";9
"687";"3225488";"Nonomuraea";2
"688";"3249165";"Nordiidae";9
"689";"1002835";"Notholca acuminata";9
"690";"5023058";"Notiophilus rufipes";5
"691";"7512659";"Novosphingobium";2
"692";"3212286";"Nuclearia";9
"693";"2588";"Nygolaimidae";9
"694";"5776914";"Nygolaimus cf. brachyuris JH-2004";9
