verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species
Acidobacterium,Acidobacterium Kishimoto & al. 1991,3229010,EXACT,94,ACCEPTED,GENUS,Bacteria,Acidobacteria,,Acidobacteriales,Acidobacteriaceae,Acidobacterium,
Acidothermaceae,Acidothermaceae,8071,EXACT,96,ACCEPTED,FAMILY,Bacteria,Actinobacteria,,Actinomycetales,Acidothermaceae,,
Acidothermus,Acidothermus Mohagheghi & al. 1986,3224612,EXACT,94,ACCEPTED,GENUS,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Acidothermaceae,Acidothermus,
Acidovorax,Acidovorax Willems & al. 1990,3220140,EXACT,94,ACCEPTED,GENUS,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,
Acineria uncinata,Acineria uncinata Tucolesco 1962,7939212,EXACT,98,ACCEPTED,SPECIES,Chromista,Ciliophora,Gymnostomatea,Pleurostomatida,Litonotidae,Acineria,Acineria uncinata
Acineta flava,Acineta flava Kellicott 1885,7350821,EXACT,98,ACCEPTED,SPECIES,Chromista,Ciliophora,Kinetofragminophora,Suctorida,Acinetidae,Acineta,Acineta flava
Acinetobacter,Acinetobacter Brisou & Prévot 1954,3223263,EXACT,94,ACCEPTED,GENUS,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,
Acrobeles,Acrobeles Linstow 1877,2283761,EXACT,94,ACCEPTED,GENUS,Animalia,Nematoda,Secernentea,Rhabditida,Cephalobidae,Acrobeles,
Acrobeloides,Acrobeloides Cobb 1924,2283754,EXACT,94,ACCEPTED,GENUS,Animalia,Nematoda,Secernentea,Rhabditida,Cephalobidae,Acrobeloides,
Acrochordonoposthia conica,Acrochordonoposthia conica Reisinger 1924,4415672,EXACT,98,ACCEPTED,SPECIES,Animalia,Platyhelminthes,Rhabditophora,Rhabdocoela,Typhloplanidae,Acrochordonoposthia,Acrochordonoposthia conica
Acrochordonoposthia,Acrochordonoposthia Reisinger 1924,4405519,EXACT,94,ACCEPTED,GENUS,Animalia,Platyhelminthes,Rhabditophora,Rhabdocoela,Typhloplanidae,Acrochordonoposthia,
Acropisthiidae,Acropisthiidae,7805141,EXACT,96,ACCEPTED,FAMILY,Chromista,Ciliophora,Gymnostomatea,Haptorida,Acropisthiidae,,
Acropisthium mutabile,Acropisthium mutabile Perty 1852,7738789,EXACT,98,ACCEPTED,SPECIES,Chromista,Ciliophora,Gymnostomatea,Haptorida,Acropisthiidae,Acropisthium,Acropisthium mutabile
Acrospermaceae,Acrospermaceae,4790,EXACT,96,ACCEPTED,FAMILY,Fungi,Ascomycota,Dothideomycetes,Acrospermales,Acrospermaceae,,
Acrospermales,Acrospermales,1261,EXACT,96,ACCEPTED,ORDER,Fungi,Ascomycota,Dothideomycetes,Acrospermales,,,
Acrospermum gramineum,Acrospermum gramineum Lib.,8657939,EXACT,98,SYNONYM,SPECIES,Fungi,Ascomycota,Dothideomycetes,Acrospermales,Acrospermaceae,Acrospermum,Acrospermum graminum
Acrospermum,Acrospermum Tode,9044526,EXACT,92,ACCEPTED,GENUS,Fungi,Ascomycota,Dothideomycetes,Acrospermales,Acrospermaceae,Acrospermum,
Actinidia chinensis,Actinidia chinensis Planch.,3189694,EXACT,98,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ericales,Actinidiaceae,Actinidia,Actinidia chinensis
Actinoallomurus,Actinoallomurus Tamura & al. 2009,8066383,EXACT,94,ACCEPTED,GENUS,Bacteria,Actinobacteria,,Actinomycetales,Thermomonosporaceae,Actinoallomurus,
Actinobolina vorax,Actinobolina vorax (Wenrich 1929) Kahl 1930,7465520,EXACT,98,ACCEPTED,SPECIES,Chromista,Ciliophora,Gymnostomatea,Spathidiida,Actinobolinidae,Actinobolina,Actinobolina vorax
Actinocatenispora,Actinocatenispora Thawai & al. 2006,3224487,EXACT,94,ACCEPTED,GENUS,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinocatenispora,
Actinochloridaceae,Actinochloridaceae,6342,EXACT,96,ACCEPTED,FAMILY,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Actinochloridaceae,,
Actinochloris,Actinochloris Steud.,6008507,EXACT,93,SYNONYM,GENUS,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Chloris,
Actinocrinis,Actinocrinis Kim & al. 2017,9400269,EXACT,94,ACCEPTED,GENUS,incertae sedis,,,,,Actinocrinis,
Actinocrinis puniceicyclus,Actinocrinis puniceicyclus Kim & al. 2017,9616610,EXACT,98,ACCEPTED,SPECIES,incertae sedis,,,,,Actinocrinis,Actinocrinis puniceicyclus
Actinomadura,Actinomadura H.Lechev. & M.P.Lechev.,3225210,EXACT,94,ACCEPTED,GENUS,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Actinomadura,
Actinomyces,Actinomyces Harz,9407921,EXACT,94,ACCEPTED,GENUS,Bacteria,Actinobacteria,,Actinomycetales,Actinomycetaceae,Actinomyces,
Actinomycetaceae,Actinomycetaceae,3812,EXACT,96,ACCEPTED,FAMILY,Bacteria,Actinobacteria,,Actinomycetales,Actinomycetaceae,,
Actinomycetales,Actinomycetales,1198,EXACT,96,ACCEPTED,ORDER,Bacteria,Actinobacteria,,Actinomycetales,,,
Actinoplanes,Actinoplanes Couch,3224204,EXACT,94,ACCEPTED,GENUS,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes,
Actinospicaceae,Actinospicaceae,4902454,EXACT,96,ACCEPTED,FAMILY,Bacteria,Actinobacteria,,Actinomycetales,Actinospicaceae,,
Acyrthosiphon,Acyrthosiphon Mordvilko 1914,2077398,EXACT,94,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Acyrthosiphon,
Acyrthosiphon pisum,Acyrthosiphon pisum (Harris & M. 1776),2077503,EXACT,98,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Acyrthosiphon,Acyrthosiphon pisum
Adhaeribacter,Adhaeribacter Rickard & al. 2005,3228858,EXACT,94,ACCEPTED,GENUS,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Adhaeribacter,
Adineta,Adineta Hudson & Gosse 1886,1000789,EXACT,94,ACCEPTED,GENUS,Animalia,Rotifera,Eurotatoria,Bdelloidea,Adinetidae,Adineta,
Adineta vaga,Adineta vaga (Davis 1873),1000794,EXACT,98,ACCEPTED,SPECIES,Animalia,Rotifera,Eurotatoria,Bdelloidea,Adinetidae,Adineta,Adineta vaga
Adinetida,Adinetidae,3878,FUZZY,85,ACCEPTED,ORDER,Animalia,Rotifera,Eurotatoria,Adinetida,,,
Adinetidae,Adinetidae,3878C1,EXACT,96,ACCEPTED,FAMILY,Animalia,Rotifera,Eurotatoria,Adinetida,Adinetidae,,
Aegopodium,Aegopodium L.,3034619,EXACT,94,ACCEPTED,GENUS,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Aegopodium,
Aeromicrobium,Aeromicrobium Miller & al. 1991,3224336,EXACT,94,ACCEPTED,GENUS,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Aeromicrobium,
Aeromicrobium panaciterrae,Aeromicrobium panaciterrae Cui & al. 2007,7736279,EXACT,98,ACCEPTED,SPECIES,Bacteria,Actinobacteria,,Actinomycetales,Nocardioidaceae,Aeromicrobium,Aeromicrobium panaciterrae
Aetherobacter,Aetherobacter Garcia & al. 2016,8933195,EXACT,94,ACCEPTED,GENUS,incertae sedis,,,,,Aetherobacter,
Agaricales,Agaricales,1499,EXACT,96,ACCEPTED,ORDER,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,
Agaricomycetes,Agaricomycetes,186,EXACT,96,ACCEPTED,CLASS,Fungi,Basidiomycota,Agaricomycetes,,,,
Agaricostilbales,Agaricostilbales,1143,EXACT,96,ACCEPTED,ORDER,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,,,
Agaricostilbomycetes,Agaricostilbomycetes,274,EXACT,96,ACCEPTED,CLASS,Fungi,Basidiomycota,Agaricostilbomycetes,,,,
Ageratum conyzoides,Ageratum conyzoides L.,5401673,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ageratum,Ageratum conyzoides
Ageratum houstonianum,Ageratum houstonianum Mill.,5401760,EXACT,98,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ageratum,Ageratum houstonianum
Aggregicoccus edonensis,Aggregicoccus edonensis Sood & al. 2015,7960801,EXACT,98,ACCEPTED,SPECIES,incertae sedis,,,,,Aggregicoccus,Aggregicoccus edonensis
Aggregicoccus,Aggregicoccus Sood & al. 2015,7806368,EXACT,94,ACCEPTED,GENUS,incertae sedis,,,,,Aggregicoccus,
Agrimonia,Agrimonia L.,3001953,EXACT,94,ACCEPTED,GENUS,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Agrimonia,
Agrimonia pubescens,Agrimonia pubescens Wallr.,3001959,EXACT,98,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Agrimonia,Agrimonia pubescens
Agriotes,Agriotes Eschscholtz 1829,1162125,EXACT,94,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,Agriotes,
Agriotes sordidus,Agriotes sordidus (Illiger 1807),4308843,EXACT,98,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,Agriotes,Agriotes sordidus
Agromyces,Agromyces Gledhill & Casida 1969,3225265,EXACT,94,ACCEPTED,GENUS,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces,
Agropyron,Agropyron J.Gaert.,2705193,EXACT,94,ACCEPTED,GENUS,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Agropyron,
Agrostis palustris,Agrostis palustris Huds.,2706439,EXACT,98,SYNONYM,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Agrostis,Agrostis palustris
Agrostis capillaris,Agrostis capillaris L.,2706490,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Agrostis,Agrostis capillaris
Agrostis,Agrostis L.,2706434,EXACT,94,ACCEPTED,GENUS,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Agrostis,
Agrostis stolonifera,Agrostis stolonifera L.,2706435,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Agrostis,Agrostis stolonifera
Anteholosticha monilata,Anteholosticha monilata (Kahl 1928) Berger 2003,8090887,EXACT,98,ACCEPTED,SPECIES,Chromista,Ciliophora,Hypotrichea,Urostylida,Holostichidae,Anteholosticha,Anteholosticha monilata
Alaimidae,Alaimidae,2596,EXACT,96,ACCEPTED,FAMILY,Animalia,Nematoda,Adenophorea,Dorylaimida,Alaimidae,,
Alaimus,Alaimus de Man 1880,2282770,EXACT,94,ACCEPTED,GENUS,Animalia,Nematoda,Adenophorea,Dorylaimida,Alaimidae,Alaimus,
Alcaligenaceae,Alcaligenaceae,5437,EXACT,96,ACCEPTED,FAMILY,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,,
Alchemilla vulgaris,Alchemilla vulgaris L.,7890713,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Alchemilla,Alchemilla vulgaris
Aleuroglyphus ovatus,Aleuroglyphus ovatus (Troupeau 1879),5860704,EXACT,98,ACCEPTED,SPECIES,Animalia,Arthropoda,Arachnida,Astigmata,Acaridae,Aleuroglyphus,Aleuroglyphus ovatus
Aleuroglyphus,Aleuroglyphus Zachvatkin 1940,4652288,EXACT,94,ACCEPTED,GENUS,Animalia,Arthropoda,Arachnida,Astigmata,Acaridae,Aleuroglyphus,
Alhagi,Alhagi Gagnebin,2945087,EXACT,94,ACCEPTED,GENUS,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Alhagi,
Alhagi persarum,Alhagi persarum Boiss. & Buhse,2945106,EXACT,98,SYNONYM,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Alhagi,Alhagi maurorum
Alicorhagia,Alicorhagia Belese 1910,2128073,EXACT,94,ACCEPTED,GENUS,Animalia,Arthropoda,Arachnida,Prostigmata,Alicorhagiidae,Alicorhagia,
Alicorhagiidae,Alicorhagiidae,2825,EXACT,96,ACCEPTED,FAMILY,Animalia,Arthropoda,Arachnida,Prostigmata,Alicorhagiidae,,
Allium cardiostemon,Allium cardiostemon Fisch. & C.A.Mey.,2856126,EXACT,98,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Allium,Allium cardiostemon
Allium cepa,Allium cepa L.,2857697,EXACT,98,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Allium,Allium cepa
Allium sativum,Allium sativum L.,2856681,EXACT,98,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Allium,Allium sativum
Allolobophora chlorotica,Allolobophora chlorotica (Savigny 1826),4410938,EXACT,98,ACCEPTED,SPECIES,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophora,Allolobophora chlorotica
Allolobophora,Allolobophora Eisen 1873,7995218,EXACT,94,ACCEPTED,GENUS,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophora,
Allovahlkampfia,Allovahlkampfia Walochnik & Mulec 2009,9426362,EXACT,92,DOUBTFUL,GENUS,Protozoa,Amoebozoa,Lobosa,Amoebida,Vahlkampfiidae,Allovahlkampfia,
Almidae,Almidae,4813730,EXACT,96,ACCEPTED,FAMILY,Animalia,Annelida,Clitellata,Haplotaxida,Almidae,,
Alnus,Alnus Mill.,2876099,EXACT,94,ACCEPTED,GENUS,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Alnus,
Aloe plicatilis,Aloe plicatilis Mill.,2777937,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe plicatilis
Alphaproteobacteria,Alphaproteobacteria,197,EXACT,94,ACCEPTED,CLASS,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
Altererythrobacter buctense,Altererythrobacter buctensis Zhang & al. 2016,9330269,FUZZY,92,ACCEPTED,SPECIES,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter,Altererythrobacter buctensis
Altererythrobacter,Altererythrobacter Kwon & al. 2007,4901674,EXACT,94,ACCEPTED,GENUS,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter,
Alternaria,Alternaria Nees ex Wallroth 1816,7388975,EXACT,94,ACCEPTED,GENUS,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,
Amaranthaceae,Amaranthaceae,3064,EXACT,96,ACCEPTED,FAMILY,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,,
Amaranthus,Amaranthus L.,3085074,EXACT,94,ACCEPTED,GENUS,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,
Amastigomonas,Amastigomonas De Saedeleer,4378324,EXACT,94,ACCEPTED,GENUS,Protozoa,Sulcozoa,Thecomonadea,Apusomonadida,Apusomonadidae,Amastigomonas,
Amastigomonas mutabilis,Amastigomonas mutabilis (Griessmann) Molina & Nerad 1991,4378326,EXACT,98,ACCEPTED,SPECIES,Protozoa,Sulcozoa,Thecomonadea,Apusomonadida,Apusomonadidae,Amastigomonas,Amastigomonas mutabilis
Ambispora,Ambispora C.Walker Vestberg & A.Schüssler,2560215,EXACT,94,ACCEPTED,GENUS,Fungi,Glomeromycota,Glomeromycetes,Archaeosporales,Ambisporaceae,Ambispora,
Ambispora fennica,Ambispora fennica C.Walker Vestberg & A.Schüssler,2560223,EXACT,98,ACCEPTED,SPECIES,Fungi,Glomeromycota,Glomeromycetes,Archaeosporales,Ambisporaceae,Ambispora,Ambispora fennica
Ambispora gerdemannii,Ambispora gerdemannii (S.L.Rose B.A.Daniels & Trappe) C.Walker Vestberg & A.Schüssler,2560216,EXACT,98,ACCEPTED,SPECIES,Fungi,Glomeromycota,Glomeromycetes,Archaeosporales,Ambisporaceae,Ambispora,Ambispora gerdemannii
Ambisporaceae,Ambisporaceae,3303,EXACT,96,ACCEPTED,FAMILY,Fungi,Glomeromycota,Glomeromycetes,Archaeosporales,Ambisporaceae,,
Aminobacter,Aminobacter Urakami & al. 1992,3220999,EXACT,94,ACCEPTED,GENUS,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Aminobacter,
Ammi majus,Ammi majus L.,3034182,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Ammi,Ammi majus
Amoebidiaceae,Amoebidiaceae,4202,EXACT,96,ACCEPTED,FAMILY,Protozoa,Choanozoa,Ichthyosporea,Amoebidiales,Amoebidiaceae,,
Amoebidium,Amoebidium Cienk.,3210246,EXACT,94,ACCEPTED,GENUS,Protozoa,Choanozoa,Ichthyosporea,Eccrinida,Amoebidiidae,Amoebidium,
Amoebidium parasiticum,Amoebidium parasiticum Cienk.,3210250,EXACT,98,ACCEPTED,SPECIES,Protozoa,Choanozoa,Ichthyosporea,Eccrinida,Amoebidiidae,Amoebidium,Amoebidium parasiticum
Amoebozoa,Amoebozoa,7509337,EXACT,94,ACCEPTED,PHYLUM,Protozoa,Amoebozoa,,,,,
Amphidelus cf. pusillus 9 Mile 3-17 LP-02,Amphidelus pusillus Thorne 1939,2282769,EXACT,98,ACCEPTED,SPECIES,Animalia,Nematoda,Adenophorea,Dorylaimida,Alaimidae,Amphidelus,Amphidelus pusillus
Amphidelus,Amphidelus Thorne 1939,2282756,EXACT,94,ACCEPTED,GENUS,Animalia,Nematoda,Adenophorea,Dorylaimida,Alaimidae,Amphidelus,
Amphileptidae,Amphileptidae,7891174,EXACT,96,ACCEPTED,FAMILY,Chromista,Ciliophora,Gymnostomatea,Pleurostomatida,Amphileptidae,,
Amphileptus,Amphileptus Ehrenberg 1830,7834375,EXACT,94,ACCEPTED,GENUS,Chromista,Ciliophora,Gymnostomatea,Pleurostomatida,Amphileptidae,Amphileptus,
Amphimallon,Amphimallon Latreille 1825,7521030,EXACT,94,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Coleoptera,Melolonthidae,Amphimallon,
Amphimallon solstitiale,Amphimallon solstitiale (Linnaeus 1758),1063891,EXACT,98,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Melolonthidae,Amphimallon,Amphimallon solstitiale
Amphisiella binucleata,Amphisiella binucleata Foissner Agatha & Berger 2002,6145343,EXACT,97,SYNONYM,SPECIES,Chromista,Ciliophora,Hypotrichea,Stichotrichida,Amphisiellidae,Uroleptoides,Uroleptoides binucleatus
Amphisiella magnigranulosa,Amphisiella magnigranulosa Foissner 1988,7764311,EXACT,98,SYNONYM,SPECIES,Chromista,Ciliophora,Hypotrichea,Stichotrichida,Amphisiellidae,Uroleptoides,Uroleptoides magnigranulosus
Amphisiella polycirrata,Amphisiella polycirrata Berger & Foissner 1989,8034554,EXACT,98,SYNONYM,SPECIES,Chromista,Ciliophora,Hypotrichea,Stichotrichida,Amphisiellidae,Uroleptoides,Uroleptoides polycirratus
Amphisiella quadrinucleata,Amphisiella quadrinucleata Berger & Foissner 1989,7981328,EXACT,98,SYNONYM,SPECIES,Chromista,Ciliophora,Hypotrichea,Stichotrichida,Amphisiellidae,Lamtostyla,Lamtostyla quadrinucleata
Amphisiella raptans,Amphisiella raptans Buitkamp & Wilbert 1974,7928292,EXACT,98,SYNONYM,SPECIES,Chromista,Ciliophora,Hypotrichea,Stichotrichida,Amphisiellidae,Uroleptoides,Uroleptoides raptans
Amphisiella vitiphila,Amphisiella vitiphila (Foissner 1987) Foissner 1988,7405898,EXACT,98,SYNONYM,SPECIES,Chromista,Ciliophora,Hypotrichea,Stichotrichida,Amphisiellidae,Lamtostyla,Lamtostyla vitiphila
Amphisiellidae,Amphisiellidae,7959387,EXACT,96,ACCEPTED,FAMILY,Chromista,Ciliophora,Hypotrichea,Stichotrichida,Amphisiellidae,,
Amphisiellides illuvialis,Amphisiellides illuvialis Eigner & Foissner 1994,8053161,EXACT,98,SYNONYM,SPECIES,Chromista,Ciliophora,,,,Nudiamphisiella,Nudiamphisiella illuvialis
Amplimerlinius icarus,Amplimerlinius icarus (Wallace & Greet 1964),4556265,EXACT,98,ACCEPTED,SPECIES,Animalia,Nematoda,Secernentea,Tylenchida,Telotylenchidae,Amplimerlinius,Amplimerlinius icarus
Amplimerlinius,Amplimerlinius Siddiqi 1976,7842856,EXACT,94,ACCEPTED,GENUS,Animalia,Nematoda,Secernentea,Tylenchida,Telotylenchidae,Amplimerlinius,
Amycolatopsis,Amycolatopsis Lechevalier & al. 1986,3224850,EXACT,94,ACCEPTED,GENUS,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis,
Amycolatopsis tolypomycina,Amycolatopsis tolypomycina Wink & al. 2003,3224882,EXACT,98,ACCEPTED,SPECIES,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis tolypomycina
Anaerolineaceae,Anaerolineaceae,4903399,EXACT,96,ACCEPTED,FAMILY,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,,
Anaerolineae,Anaerolineae,298,EXACT,83,ACCEPTED,CLASS,Bacteria,Chloroflexi,Anaerolineae,,,,
Anaerolineales,Anaerolineales,8229939,EXACT,96,ACCEPTED,ORDER,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,,,
Anaeromyxobacter,Anaeromyxobacter Sanford & al. 2002,3220545,EXACT,94,ACCEPTED,GENUS,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Anaeromyxobacter,
